actuator_id,manufacturer,model,kind,motor_id,gearbox_id,driver_id,driver_included,Reducer,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,IP,Communication,Price_EUR,Output_Kt_Nm_per_A,Source,Notes
myactuator-rmd-x12-p20-320-e,MyActuator,RMD-X12-P20-320-E,commercial,myactuator-m-3-3-0-12-17-9,myactuator-rmd-x12-p20-320-e-gbx,,yes,planetary 20:1,48,85,320,,100,125,900,2.37,124,85,,CAN BUS / EtherCAT,1003,3.3,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p29-30); confirmed https://aifitlab.com/products/myactuator-rmd-x12-320-motor,X12-320. Module (output) Kt 3.3 Nm/A. L 0.05 mH; eff 75%; back-drive 3.8 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Rated OUTPUT power=900 W per datasheet & AIFITLAB (existing DB row says 1000 W - existing is wrong). Weight 2.37 kg (existing row 2.40). Stall: 300 Nm@3s. | url:https://www.myactuator.com/x12-320-details | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x15-p20-450-e,MyActuator,RMD-X15-P20-450-E,commercial,myactuator-m-5-8-0-08-29-9,myactuator-rmd-x15-p20-450-e-gbx,,yes,planetary 20.25:1,72,145,450,,98,108,1480,3.50,166,69,,CAN BUS / EtherCAT,1600,5.8,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p31-32),X15-450. 72V input. Module (output) Kt 5.8 Nm/A. L 0.14 mH; eff 82.4%; back-drive 4 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Stall: 435 Nm@5s. | url:https://www.myactuator.com/x15-450-details | datasheet:MyActuator-2025-product-manual.pdf | price: CHF1500 user-supplied 2026-08-30 -> EUR1600 @ 1.0667 CHF->EUR (xe.com spot, 2026-08-30)
myactuator-rmd-x10-p7-40-r-n-c-n,MyActuator,RMD-X10-P7-40-R-N / -C-N,commercial,myactuator-m-0-32-0-3-30,myactuator-rmd-x10-p7-40-r-n-c-n-gbx,,yes,planetary 7:1,48,12,40,,170,190,215,1.15,71,53,,CAN BUS / RS485,575,,"RMD-X10-40_datasheet.pdf (MyActuator V3 download RMD-X10 1:7 V3.pdf, Apr 2024)","X10-40 (RMD-X10 V3, 1:7). RAW DATASHEET PDF gives rated 12 Nm @170 rpm, 215 W, overload x3, MOTOR Kt 0.32 Nm/A, motor Kv 30 rpm/V, R 0.3 ohm, L 0.13 mH, rotor inertia 5675 g.cm2. Peak 40 from model name. DISCREPANCY: AIFITLAB/website & existing DB row list rated 15 Nm / 265 W / 165 rpm - datasheet PDF differs. Dual encoder 14-bit in/out; backlash 7 arcmin; no brake. | url:https://www.myactuator.com/x10-40-details | datasheet:RMD-X10-40_datasheet.pdf"
myactuator-rmd-x10-p35-100-r-n-c-n,MyActuator,RMD-X10-P35-100-R-N / -C-N,commercial,,myactuator-rmd-x10-p35-100-r-n-c-n-gbx,,yes,planetary 35:1,48,50,100,,50,,265,1.70,71,74,,CAN BUS / RS485,,,"RMD-X10-100_datasheet.pdf (MyActuator V3 download RMD-X10-S2 V3.pdf, Apr 2024)","X10-100 (RMD-X10-S2 V3). RAW DATASHEET: rated 50 Nm @50 rpm, peak 100 Nm, 265 W, eff 82%. Torque const / phase R not listed in datasheet table (blank, not guessed). Input encoder 16-bit / output 14-bit; back-drive 2.88 Nm; backlash 15 arcmin; inertia 198.6 kg.cm2; axial 1625 N / radial 2250 N; no brake (brake customizable). Matches existing DB row. | url:https://www.myactuator.com/x10-100-details | datasheet:RMD-X10-100_datasheet.pdf"
myactuator-eps-rh-11-80-c-n-d,MyActuator,EPS-RH-11-80-C-N-D,commercial,myactuator-m-3-65-2-7-12,myactuator-eps-rh-11-80-c-n-d-gbx,,yes,harmonic 80:1,24,5,21,,25,40,13,0.38,52,73,,CAN BUS,,3.65,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p35-36),"RH-11 (smallest harmonic; 80:1 only, CAN only). Module (output) Kt 3.65 Nm/A. L 0.47 mH; backlash <40 arcsec; dual encoder ABS-14BIT(in)/ABS-17BIT(out); standard without brake; IP54 optional. Currents A(rms). Stall: 21 Nm@5s. | url:https://www.myactuator.com/rh-harmonicmotor | datasheet:MyActuator-2025-product-manual.pdf"
myactuator-eps-rh-14-100-e-n-d,MyActuator,EPS-RH-14-100-E-N-D,commercial,myactuator-m-4-0-62-19-2,myactuator-eps-rh-14-100-e-n-d-gbx,,yes,harmonic 100:1,48,11,28,,25,30,28,0.78,64,81.7,,CAN BUS / EtherCAT,,4,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p37-38),"RH-14, 100:1 (standard only without brake). Module (output) Kt 4 Nm/A. 50:1 variant also offered: rated 5.5 / peak 14 Nm, 50 rpm, Kt 2 Nm/A. L 0.43 mH; backlash <40 arcsec; dual encoder ABS-17BIT/17BIT; IP54 optional. Currents A(rms). Stall: 27.5 Nm@8s. | url:https://www.myactuator.com/rh-14details | datasheet:MyActuator-2025-product-manual.pdf"
myactuator-eps-rh-17-lite-100-c-n-d,MyActuator,EPS-RH-17-Lite-100-C-N-D,commercial,myactuator-m-5-17-0-94-12-00,myactuator-eps-rh-17-lite-100-c-n-d-gbx,,yes,harmonic 100:1,24,26,65,,20,25,55,0.8,70,77,,CAN BUS,,5.17,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p39-40),"RH-17 Lite (distinct low-cost 17 harmonic; 100:1, CAN only). Module (output) Kt 5.17 Nm/A. L 0.41 mH; backlash <40 arcsec; dual encoder ABS-14BIT/ABS-17BIT; without brake. Currents A(rms). Stall: 65 Nm@5s. | url:https://www.myactuator.com/rh-17details | datasheet:MyActuator-2025-product-manual.pdf"
myactuator-eps-rh-17-100-e-n-d,MyActuator,EPS-RH-17-100-E-N-D,commercial,myactuator-m-7-4-0-7-19-2,myactuator-eps-rh-17-100-e-n-d-gbx,,yes,harmonic 100:1,48,35,54,,25,30,91,1.11,74,90.2,,CAN BUS / EtherCAT,869,7.4,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p41-42),"RH-17, 100:1. Module (output) Kt 7.4 Nm/A. Brake variant EPS-RH-17-100-E-B-D: 1.28 kg, length 104 mm. 50:1 variant: rated 17.5 / peak 27 Nm, 50 rpm, Kt 3.7 Nm/A. L 0.47 mH; backlash <40 arcsec; dual encoder ABS-17BIT/17BIT; IP54 optional. Currents A(rms). Stall: 87.5 Nm@8s. | url:https://www.myactuator.com/rh-17details | datasheet:MyActuator-2025-product-manual.pdf"
myactuator-eps-rh-20-100-e-n-d,MyActuator,EPS-RH-20-100-E-N-D,commercial,myactuator-m-7-3-0-36-19-2,myactuator-eps-rh-20-100-e-n-d-gbx,,yes,harmonic 100:1,48,50,80,,25,30,130,1.45,84,82.9,,CAN BUS / EtherCAT,,7.3,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p43-44),"RH-20, 100:1. Module (output) Kt 7.3 Nm/A. Brake variant -E-B-D: 1.75 kg, length 97.4 mm. 50:1 variant: rated 25 / peak 40 Nm, 50 rpm, Kt 3.65 Nm/A. L 0.51 mH; backlash <40 arcsec; dual encoder ABS-17BIT/17BIT; IP54 optional. Currents A(rms). Stall: 125 Nm@8s. | url:https://www.myactuator.com/rh-20details | datasheet:MyActuator-2025-product-manual.pdf"
myactuator-eps-rh-25-100-e-n-d,MyActuator,EPS-RH-25-100-E-N-D,commercial,myactuator-m-10-1-0-16-19-2,myactuator-eps-rh-25-100-e-n-d-gbx,,yes,harmonic 100:1,48,108,157,,25,30,282,2.42,102,88.5,,CAN BUS / EtherCAT,1196,10.1,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p45-46),"RH-25, 100:1. Module (output) Kt 10.1 Nm/A. Brake variant -E-B-D: 2.74 kg, length 105.2 mm. 50:1 variant: rated 54 / peak 78.5 Nm, 50 rpm, Kt 5.05 Nm/A. L 0.33 mH; backlash <40 arcsec; dual encoder ABS-17BIT/17BIT; IP54 optional. Currents A(rms). Stall: 256 Nm@5s. | url:https://www.myactuator.com/rh-25details | datasheet:MyActuator-2025-product-manual.pdf"
myactuator-eps-rh-32-100-e-n-d,MyActuator,EPS-RH-32-100-E-N-D,commercial,myactuator-m-6-9-0-08-26-7,myactuator-eps-rh-32-100-e-n-d-gbx,,yes,harmonic 100:1,48,150,229,,18,20,282,4.32,132,108.4,,CAN BUS / EtherCAT,,6.9,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p47-48),"RH-32, 100:1 (largest direct-sale harmonic). Module (output) Kt 6.9 Nm/A. Brake variant -E-B-D: 4.74 kg, length 125.3 mm. 50:1 variant: rated 75 / peak 114.5 Nm, 36 rpm, Kt 3.45 Nm/A. L 0.18 mH; backlash <40 arcsec; dual encoder ABS-17BIT/17BIT; IP54 optional. Currents A(rms). Stall: 270 Nm@5s. | url:https://www.myactuator.com/rh-32details | datasheet:MyActuator-2025-product-manual.pdf"
myactuator-rmd-l-4005,MyActuator,RMD-L-4005,commercial,,,,yes,direct drive (no gearbox),12-24,,0.25,,,,,,40,,,CAN BUS / RS485,,,https://www.dingsmotionusa.com/rmd-l-4005 ; https://www.myactuator.com/l-4005-details,"L-4005 gimbal/direct-drive BLDC (KV variant -25T). Only peak torque 0.25 Nm published on distributor pages; rated torque/speed/Kt/R not obtained (left blank, not guessed). 18-bit magnetic encoder. | url:https://www.myactuator.com/l-4005-details"
myactuator-rmd-l-4010,MyActuator,RMD-L-4010,commercial,,,,yes,direct drive (no gearbox),12-24,,0.33,,,,,,40,,,CAN BUS / RS485,,,https://www.dingsmotionusa.com/rmd-l-4010 ; https://www.myactuator.com/l-4010-details,"L-4010 direct-drive BLDC. Only peak torque 0.33 Nm published; other params not obtained (blank, not guessed). | url:https://www.myactuator.com/l-4010-details"
myactuator-rmd-l-4015,MyActuator,RMD-L-4015,commercial,,,,yes,direct drive (no gearbox),16,0.22,0.49,,520,,100,0.12,39.6,33,,CAN BUS / RS485,,,Amazon RMD-L-4015-20T listing + https://www.dingsmotionusa.com/rmd-l-collection,"L-4015 (KV variant -20T). Rated 0.22 / peak 0.49 Nm, 520 rpm, nominal 100 W, 16 V, 120 g, size 39.6 x 33 mm. Direct drive; 18-bit encoder. Kt/Kv/R not published. | url:https://www.myactuator.com/l-4015-details"
myactuator-rmd-l-5005,MyActuator,RMD-L-5005,commercial,,,,yes,direct drive (no gearbox),16,0.13,0.42,,1360,,100,0.092,50,,,CAN BUS / RS485,,,https://www.dingsmotionusa.com/rmd-l-collection,"L-5005 direct-drive. Rated 0.13 / peak 0.42 Nm, 1360 rpm, 16 V, 92 g, MC100 (100 W) drive. Kt/Kv/R not obtained. | url:https://www.myactuator.com/l-5005-details"
myactuator-rmd-l-5010,MyActuator,RMD-L-5010,commercial,,,,yes,direct drive (no gearbox),16,0.26,0.65,,600,,100,0.135,50,,,CAN BUS / RS485,,,https://www.dingsmotionusa.com/rmd-l-collection,"L-5010 (KV variant -35T) direct-drive. Rated 0.26 / peak 0.65 Nm, 600 rpm, 16 V, 135 g, MC100 (100 W). Kt/Kv/R not obtained. | url:https://www.myactuator.com/l-5010-details"
myactuator-rmd-l-5015,MyActuator,RMD-L-5015,commercial,,,,yes,direct drive (no gearbox),16,0.36,0.82,,350,,100,0.174,50,,,CAN BUS / RS485,,,https://www.dingsmotionusa.com/rmd-l-collection ; Amazon RMD-L-5015-10T,"L-5015 (KV variant -10T) direct-drive. Rated 0.36 / peak 0.82 Nm, 350 rpm, 16 V, 174 g, MC100 (100 W). 18-bit encoder. Kt/Kv/R not obtained. | url:https://www.myactuator.com/l-5015-details"
myactuator-rmd-l-7015,MyActuator,RMD-L-7015,commercial,myactuator-m-0-28-1-14-34,,,yes,direct drive (no gearbox),24,1,3.8,,580,805,200,0.36,70,,,CAN BUS / RS485,,,https://rcdrone.top/products/myactuator-l-7015-bldc-servo-motor ; https://www.dingsmotionusa.com/rmd-l-7015,"L-7015 (KV variant -23T) direct-drive. Rated 1 / peak 3.8 Nm, 580 rpm (max 805), 200 W, 24 V, 360 g. Kt 0.28 Nm/A & Kv 34 rpm/V (motor, self-consistent Kt*Kv=9.5). 18-bit magnetic encoder. | url:https://www.myactuator.com/l-7015-details"
myactuator-rmd-l-7025,MyActuator,RMD-L-7025,commercial,,,,yes,direct drive (no gearbox),24,1.6,4.1,,280,,200,0.54,70,,,CAN BUS / RS485,,,https://www.dingsmotionusa.com/rmd-l-7025 ; RobotShop RMD-L-7025-28T,"L-7025 (KV variant -28T) direct-drive. Rated 1.6 / peak 4.1 Nm, 280 rpm, 200 W, 24 V, 540 g. Kt/Kv/R not obtained (rcdrone page 404). | url:https://www.myactuator.com/l-7025-details"
myactuator-rmd-l-9015,MyActuator,RMD-L-9015,commercial,myactuator-m-0-45-1-51-21,,,yes,direct drive (no gearbox),24,1.67,5,,290,500,200,0.65,90,,,CAN BUS / RS485,,,https://rcdrone.top/products/myactuator-l-9015-direct-drive-bldc-servo-motor ; https://www.dingsmotionusa.com/rmd-l-9015,"L-9015 (KV variant -16T) direct-drive. Rated 1.67 / peak 5 Nm, 290 rpm (max 500), 200 W, 24 V, 650 g. Kt 0.45 Nm/A & Kv 21 rpm/V (motor). L 1.05 mH; rotor inertia 3271 g.cm2; 14-bit encoder. (Amazon lists 1.64 Nm variant.) | url:https://www.myactuator.com/l-9015-details"
myactuator-rmd-l-9025,MyActuator,RMD-L-9025,commercial,myactuator-m-0-76-1-9-12,,,yes,direct drive (no gearbox),24,2.79,5.8,,130,280,200,0.88,90,,,CAN BUS / RS485,,,https://rcdrone.top/products/myactuator-l-9025-direct-drive-bldc-servo-motor ; https://www.dingsmotionusa.com/rmd-l-9025,"L-9025 direct-drive (largest RMD-L). Rated 2.79 / peak 5.8 Nm, 130 rpm (max 280), 200 W, 24 V, 880 g. Kt 0.76 Nm/A & Kv 12 rpm/V (motor). 14-bit encoder; control precision 0.001 deg. | url:https://www.myactuator.com/l-9025-details"
zeroerr-erob70f-14-50,ZeroErr,eRob70F (14-50),commercial,zeroerr-m-0-134-3-87-8,zeroerr-erob70f-14-50-gbx,,yes,strain wave 50:1,48,3.7,12,23,,60,75,0.77,70,60.4,IP54,EtherCAT / CANopen / Modbus,,0.134,https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Ultra-flat. Avg-load torque=4.8Nm. Motor V3_MC2 16-pole: motor rated 0.24Nm@3000rpm, L 2.54mH. Module rated I 1.91A (Table 3-1). Enc 19-bit. Peak_Torque_Nm=peak start/stop torque; Max_Momentary=permissible max momentary torque. | url:https://www.zeroerr.com/rotary_actuators/erob70f | datasheet:eRob_i-type_parameter_sheet.pdf"
zeroerr-erob70f-14-80,ZeroErr,eRob70F (14-80),commercial,zeroerr-m-0-134-3-87-8,zeroerr-erob70f-14-80-gbx,,yes,strain wave 80:1,48,5.4,16,35,,37.5,75,0.77,70,60.4,IP54,EtherCAT / CANopen / Modbus,,0.134,https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Ultra-flat. Avg-load torque=7.7Nm. Motor V3_MC2 16-pole. Module rated I 1.91A. Enc 19-bit. | url:https://www.zeroerr.com/rotary_actuators/erob70f | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob70f-14-100,ZeroErr,eRob70F (14-100),commercial,zeroerr-m-0-134-3-87-8,zeroerr-erob70f-14-100-gbx,,yes,strain wave 100:1,48,5.4,19,35,,30,75,0.77,70,60.4,IP54,EtherCAT / CANopen / Modbus,,0.134,https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Ultra-flat. Avg-load torque=7.7Nm. Motor V3_MC2 16-pole. Module rated I 1.91A. Enc 19-bit. New size not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob70f | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob70i-14-50,ZeroErr,eRob70i (14-50),commercial,zeroerr-m-0-132-2-0-8-3,zeroerr-erob70i-14-50-gbx,,yes,strain wave 50:1,48,7,23,46,,60,100,0.82,70,71,IP54,EtherCAT / CANopen / Modbus,,0.132,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Avg-load torque=9Nm. Motor V4_MC2 16-pole (page lists actuator ver V5; no V5 in UM V3.42): 0.32Nm@3000rpm, L 2.46mH. Module rated I 2.55A. Earlier V3_MC1=10-pole Kt0.075/R1.75/Kv8.42/3.3A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob70i | datasheet:eRob_i-type_parameter_sheet.pdf"
zeroerr-erob70i-14-80,ZeroErr,eRob70i (14-80),commercial,zeroerr-m-0-132-2-0-8-3,zeroerr-erob70i-14-80-gbx,,yes,strain wave 80:1,48,10,30,61,,37.5,100,0.82,70,71,IP54,EtherCAT / CANopen / Modbus,,0.132,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=14Nm. Motor V4_MC2 16-pole. Module rated I 2.55A. Enc 19-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob70i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob70i-14-100,ZeroErr,eRob70i (14-100),commercial,zeroerr-m-0-132-2-0-8-3,zeroerr-erob70i-14-100-gbx,,yes,strain wave 100:1,48,10,36,70,,30,100,0.82,70,71,IP54,EtherCAT / CANopen / Modbus,,0.132,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=14Nm. Motor V4_MC2 16-pole. Module rated I 2.55A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob70i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob70i-14-120,ZeroErr,eRob70i (14-120),commercial,zeroerr-m-0-132-2-0-8-3,zeroerr-erob70i-14-120-gbx,,yes,strain wave 120:1,48,10,36,70,,25,100,0.82,70,71,IP54,EtherCAT / CANopen / Modbus,,0.132,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=14Nm. Motor V4_MC2 16-pole. Module rated I 2.55A. Enc 19-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob70i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob80f-17-50,ZeroErr,eRob80F (17-50),commercial,zeroerr-m-0-126-1-362-8-36,zeroerr-erob80f-17-50-gbx,,yes,strain wave 50:1,48,11,23,48,,60,126,0.89,80,57.5,IP54,EtherCAT / CANopen / Modbus,,0.126,https://www.zeroerr.com/rotary_actuators/erob80f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Flat. Avg-load torque=18Nm. Motor V4_MC2 16-pole: 0.4Nm@3000rpm, L 1.362mH. Module rated I 3.5A (Table 3-1). Enc 19-bit. Only 2 ratios offered (50,100). Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob80f | datasheet:eRob_i-type_parameter_sheet.pdf"
zeroerr-erob80f-17-100,ZeroErr,eRob80F (17-100),commercial,zeroerr-m-0-126-1-362-8-36,zeroerr-erob80f-17-100-gbx,,yes,strain wave 100:1,48,16,37,71,,30,126,0.89,80,57.5,IP54,EtherCAT / CANopen / Modbus,,0.126,https://www.zeroerr.com/rotary_actuators/erob80f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Flat. Avg-load torque=27Nm. Motor V4_MC2 16-pole. Module rated I 3.5A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob80f | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob80i-17-50,ZeroErr,eRob80i (17-50),commercial,zeroerr-m-0-134-0-76-8-1,zeroerr-erob80i-17-50-gbx,,yes,strain wave 50:1,48,21,44,91,,60,126,1.03,80,64.2,IP54,EtherCAT / CANopen / Modbus,,0.134,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Avg-load torque=34Nm. Motor V5_MC2 16-pole (page now V6; no V6 in UM V3.42): 0.45Nm@3100rpm, L 1.32mH. Motor rated power 146W in UM vs 126W on page. Module rated I 4.1A (Table 3-1). Earlier V3_MC1=10-pole Kt0.101/R0.7/200W. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob80i | datasheet:eRob_i-type_parameter_sheet.pdf"
