gearbox_id,manufacturer,model,source_type,parent_actuator_id,Type,Ratio_num,Eff_Fwd,Eff_Back,Backlash_arcmin,Rated_Output_Torque_Nm,Peak_Output_Torque_Nm,Max_Input_Speed_RPM,Mass_kg,Diameter_mm,Length_mm,Price_EUR,Source,Notes
zeroerr-erob70f-14-80-gbx,ZeroErr,eRob70F (14-80) (gearbox),extracted,zeroerr-erob70f-14-80,strain_wave,80,,,,5.4,16,,,70,60.4,,https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob70f-14-100-gbx,ZeroErr,eRob70F (14-100) (gearbox),extracted,zeroerr-erob70f-14-100,strain_wave,100,,,,5.4,19,,,70,60.4,,https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob70i-14-50-gbx,ZeroErr,eRob70i (14-50) (gearbox),extracted,zeroerr-erob70i-14-50,strain_wave,50,,,,7,23,,,70,71,,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob70i-14-80-gbx,ZeroErr,eRob70i (14-80) (gearbox),extracted,zeroerr-erob70i-14-80,strain_wave,80,,,,10,30,,,70,71,,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob70i-14-100-gbx,ZeroErr,eRob70i (14-100) (gearbox),extracted,zeroerr-erob70i-14-100,strain_wave,100,,,,10,36,,,70,71,,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob70i-14-120-gbx,ZeroErr,eRob70i (14-120) (gearbox),extracted,zeroerr-erob70i-14-120,strain_wave,120,,,,10,36,,,70,71,,https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob80f-17-50-gbx,ZeroErr,eRob80F (17-50) (gearbox),extracted,zeroerr-erob80f-17-50,strain_wave,50,,,,11,23,,,80,57.5,,https://www.zeroerr.com/rotary_actuators/erob80f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob80f-17-100-gbx,ZeroErr,eRob80F (17-100) (gearbox),extracted,zeroerr-erob80f-17-100,strain_wave,100,,,,16,37,,,80,57.5,,https://www.zeroerr.com/rotary_actuators/erob80f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob80i-17-50-gbx,ZeroErr,eRob80i (17-50) (gearbox),extracted,zeroerr-erob80i-17-50,strain_wave,50,,,,21,44,,,80,64.2,,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob80i-17-80-gbx,ZeroErr,eRob80i (17-80) (gearbox),extracted,zeroerr-erob80i-17-80,strain_wave,80,,,,29,56,,,80,64.2,,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob80i-17-100-gbx,ZeroErr,eRob80i (17-100) (gearbox),extracted,zeroerr-erob80i-17-100,strain_wave,100,,,,31,70,,,80,64.2,,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob80i-17-120-gbx,ZeroErr,eRob80i (17-120) (gearbox),extracted,zeroerr-erob80i-17-120,strain_wave,120,,,,31,70,,,80,64.2,,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob90i-20-50-gbx,ZeroErr,eRob90i (20-50) (gearbox),extracted,zeroerr-erob90i-20-50,strain_wave,50,,,,33,73,,,90,75.9,,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob90i-20-80-gbx,ZeroErr,eRob90i (20-80) (gearbox),extracted,zeroerr-erob90i-20-80,strain_wave,80,,,,44,96,,,90,75.9,,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob90i-20-100-gbx,ZeroErr,eRob90i (20-100) (gearbox),extracted,zeroerr-erob90i-20-100,strain_wave,100,,,,52,107,,,90,75.9,,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob90i-20-120-gbx,ZeroErr,eRob90i (20-120) (gearbox),extracted,zeroerr-erob90i-20-120,strain_wave,120,,,,52,113,,,90,75.9,,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob110i-25-50-gbx,ZeroErr,eRob110i (25-50) (gearbox),extracted,zeroerr-erob110i-25-50,strain_wave,50,,,,51,127,,,110,80.2,,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob110i-25-80-gbx,ZeroErr,eRob110i (25-80) (gearbox),extracted,zeroerr-erob110i-25-80,strain_wave,80,,,,82,178,,,110,80.2,,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob110i-25-100-gbx,ZeroErr,eRob110i (25-100) (gearbox),extracted,zeroerr-erob110i-25-100,strain_wave,100,,,,87,204,,,110,80.2,,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob110i-25-120-gbx,ZeroErr,eRob110i (25-120) (gearbox),extracted,zeroerr-erob110i-25-120,strain_wave,120,,,,87,217,,,110,80.2,,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob110i-25-160-gbx,ZeroErr,eRob110i (25-160) (gearbox),extracted,zeroerr-erob110i-25-160,strain_wave,160,,,,87,229,,,110,80.2,,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob142i-32-50-gbx,ZeroErr,eRob142i (32-50) (gearbox),extracted,zeroerr-erob142i-32-50,strain_wave,50,,,,99,281,,,142,133.9,,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob142i-32-80-gbx,ZeroErr,eRob142i (32-80) (gearbox),extracted,zeroerr-erob142i-32-80,strain_wave,80,,,,153,395,,,142,133.9,,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob142i-32-100-gbx,ZeroErr,eRob142i (32-100) (gearbox),extracted,zeroerr-erob142i-32-100,strain_wave,100,,,,178,433,,,142,133.9,,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob142i-32-120-gbx,ZeroErr,eRob142i (32-120) (gearbox),extracted,zeroerr-erob142i-32-120,strain_wave,120,,,,178,459,,,142,133.9,,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob142i-32-160-gbx,ZeroErr,eRob142i (32-160) (gearbox),extracted,zeroerr-erob142i-32-160,strain_wave,160,,,,178,484,,,142,133.9,,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob170i-40-50-gbx,ZeroErr,eRob170i (40-50) (gearbox),extracted,zeroerr-erob170i-40-50,strain_wave,50,,,,137,402,,,170,144.9,,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob170i-40-80-gbx,ZeroErr,eRob170i (40-80) (gearbox),extracted,zeroerr-erob170i-40-80,strain_wave,80,,,,206,519,,,170,144.9,,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob170i-40-100-gbx,ZeroErr,eRob170i (40-100) (gearbox),extracted,zeroerr-erob170i-40-100,strain_wave,100,,,,265,568,,,170,144.9,,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob170i-40-120-gbx,ZeroErr,eRob170i (40-120) (gearbox),extracted,zeroerr-erob170i-40-120,strain_wave,120,,,,294,617,,,170,144.9,,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
zeroerr-erob170i-40-160-gbx,ZeroErr,eRob170i (40-160) (gearbox),extracted,zeroerr-erob170i-40-160,strain_wave,160,,,,294,647,,,170,144.9,,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-h-gbx,MAB Robotics,MA-H (gearbox),extracted,mab-robotics-ma-h,strain_wave,50,,,0.1,,151,,,73,62,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-hs-h-ip66-gbx,MAB Robotics,MA-hs-h-IP66 (gearbox),extracted,mab-robotics-ma-hs-h-ip66,strain_wave,50,,,0.1,28,60,,,102,91,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-p-100-ip66-kv60-gbx,MAB Robotics,MA-p-100-IP66 (KV60) (gearbox),extracted,mab-robotics-ma-p-100-ip66-kv60,planetary,9,,,9,18,48,,,103,79.6,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-p-100-ip66-kv100-gbx,MAB Robotics,MA-p-100-IP66 (KV100) (gearbox),extracted,mab-robotics-ma-p-100-ip66-kv100,planetary,9,,,9,15,38,,,103,79.6,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-p-100-30-gbx,MAB Robotics,MA-p-100-30 (gearbox),extracted,mab-robotics-ma-p-100-30,planetary,30,,,18,50,150,,,98,67,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-p-45-10-gbx,MAB Robotics,MA-p-45-10 (gearbox),extracted,mab-robotics-ma-p-45-10,planetary,10,,,18,2.5,7,,,53,41.9,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-p-45-36-gbx,MAB Robotics,MA-p-45-36 (gearbox),extracted,mab-robotics-ma-p-45-36,planetary,36,,,18,8,24,,,55,54.4,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
mab-robotics-ma-p-40-10-gbx,MAB Robotics,MA-p-40-10 (gearbox),extracted,mab-robotics-ma-p-40-10,planetary,10,,,18,1.3,4.1,,,53,35.9,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Torque cols = parent actuator output (integrated limit).
robstride-rs00-gbx,RobStride,RS00 (gearbox),extracted,robstride-rs00,planetary,10,,,,5,14,,,57,51,,RobStride RS00 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Torque cols = parent actuator output (integrated limit).
robstride-rs01-gbx,RobStride,RS01 (gearbox),extracted,robstride-rs01,planetary,7.75,,,,6,17,,,78.5,40,,RobStride RS01 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Torque cols = parent actuator output (integrated limit).
robstride-rs02-gbx,RobStride,RS02 (gearbox),extracted,robstride-rs02,planetary,7.75,,,,6,17,,,78.5,45.5,,RobStride RS02 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Torque cols = parent actuator output (integrated limit).
robstride-rs03-gbx,RobStride,RS03 (gearbox),extracted,robstride-rs03,planetary,9,,,,20,60,,,106,56,,RobStride RS03 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Torque cols = parent actuator output (integrated limit).
robstride-rs04-gbx,RobStride,RS04 (gearbox),extracted,robstride-rs04,planetary,9,,,,40,120,,,120,56,,RobStride RS04 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Torque cols = parent actuator output (integrated limit).
robstride-rs05-gbx,RobStride,RS05 (gearbox),extracted,robstride-rs05,planetary,7.75,,,,1.6,5.5,,,46,44,,RobStride RS05 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Torque cols = parent actuator output (integrated limit).
robstride-rs06-gbx,RobStride,RS06 (gearbox),extracted,robstride-rs06,planetary,9,,,,11,36,,,88,49,,RobStride RS06 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Torque cols = parent actuator output (integrated limit).
steadywin-gim3505-8-gbx,SteadyWin,GIM3505-8 (gearbox),extracted,steadywin-gim3505-8,planetary,8,,,15,0.67,1.79,,,43,30,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3505-8-planetary-gear-motor,Torque cols = parent actuator output (integrated limit).
steadywin-gim3510-8-gbx,SteadyWin,GIM3510-8 (gearbox),extracted,steadywin-gim3510-8,planetary,8,,,15,1,6.28,,,46,51.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3510-8-robot-gear-motor-reducer-planetary,Torque cols = parent actuator output (integrated limit).
steadywin-gim3510-64-gbx,SteadyWin,GIM3510-64 (gearbox),extracted,steadywin-gim3510-64,planetary,64,,,15,9,50,,,46,77.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3510-64-compact-can-servo-for-robotics,Torque cols = parent actuator output (integrated limit).
steadywin-gim4305-10-gbx,SteadyWin,GIM4305-10 (gearbox),extracted,steadywin-gim4305-10,planetary,10,,,15,1.05,3.82,,,53,32,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim4310-10-gbx,SteadyWin,GIM4310-10 (gearbox),extracted,steadywin-gim4310-10,planetary,10,,,15,1.63,7.98,,,53,38,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim4310-10-joint-motor,Torque cols = parent actuator output (integrated limit).
steadywin-gim4310-36-gbx,SteadyWin,GIM4310-36 (gearbox),extracted,steadywin-gim4310-36,planetary,36,,,15,6.24,25.43,,,55,47,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim4310-40-gbx,SteadyWin,GIM4310-40 (gearbox),extracted,steadywin-gim4310-40,planetary,40,,,15,8.5,30.59,,,57,56,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim4315-8-gbx,SteadyWin,GIM4315-8 (gearbox),extracted,steadywin-gim4315-8,planetary,8,,,15,1.6,14.25,,,57,58,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim4315-8-brushless-actuator,Torque cols = parent actuator output (integrated limit).
steadywin-gim6010-6-gbx,SteadyWin,GIM6010-6 (gearbox),extracted,steadywin-gim6010-6,planetary,6,,,15,3.3,8,,,76,35,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim6010-8-gbx,SteadyWin,GIM6010-8 (gearbox),extracted,steadywin-gim6010-8,planetary,8,,,15,5,11,,,80,40,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim6010-8-robot-motor,Torque cols = parent actuator output (integrated limit).
steadywin-gim6010-36-gbx,SteadyWin,GIM6010-36 (gearbox),extracted,steadywin-gim6010-36,planetary,36,,,15,18,41,,,76,56.50,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim6010-48-gbx,SteadyWin,GIM6010-48 (gearbox),extracted,steadywin-gim6010-48,planetary,48,,,15,27,55.9,,,80,67.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim8108-6-gbx,SteadyWin,GIM8108-6 (gearbox),extracted,steadywin-gim8108-6,planetary,6,,,15,5.18,26.32,,,96,41.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim8108-8-gbx,SteadyWin,GIM8108-8 (gearbox),extracted,steadywin-gim8108-8,planetary,8,,,15,7.5,22,,,92,55,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim8108-8-robot-motor,Torque cols = parent actuator output (integrated limit).
steadywin-gim8108-9-gbx,SteadyWin,GIM8108-9 (gearbox),extracted,steadywin-gim8108-9,planetary,9,,,15,8.19,27.38,,,96,41.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim8108-36-gbx,SteadyWin,GIM8108-36 (gearbox),extracted,steadywin-gim8108-36,planetary,36,,,15,32.76,109.5,,,96,57,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim8108-48-gbx,SteadyWin,GIM8108-48 (gearbox),extracted,steadywin-gim8108-48,planetary,48,,,15,35.5,133.5,,,92,73,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim8108-48-robot-actuator,Torque cols = parent actuator output (integrated limit).
steadywin-gim8115-6-gbx,SteadyWin,GIM8115-6 (gearbox),extracted,steadywin-gim8115-6,planetary,6,,,15,8.59,36.94,,,96,48.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim8115-9-gbx,SteadyWin,GIM8115-9 (gearbox),extracted,steadywin-gim8115-9,planetary,9,,,15,13,40,,,96,48.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim8115-9-torque-servo,Torque cols = parent actuator output (integrated limit).
steadywin-gim8115-36-gbx,SteadyWin,GIM8115-36 (gearbox),extracted,steadywin-gim8115-36,planetary,36,,,15,45.6,132,,,96,64,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
steadywin-gim10015-9-gbx,SteadyWin,GIM10015-9 (gearbox),extracted,steadywin-gim10015-9,planetary,9,,,15,30,62.1,,,122,57.5,,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Torque cols = parent actuator output (integrated limit).
mjbots-qdd100-beta-3-gbx,mjbots,qdd100 beta 3 (gearbox),extracted,mjbots-qdd100-beta-3,planetary,6,,,,3.3,16,,,100,44,,https://mjbots.com/products/qdd100-beta-3,Torque cols = parent actuator output (integrated limit).
maxon-hej-50-48-30-gbx,Maxon,HEJ 50-48-30 (gearbox),extracted,maxon-hej-50-48-30,planetary,,,,,11,28,,,71.5,65,,maxon datasheet HEJ 50-48-30 rev1.1,Torque cols = parent actuator output (integrated limit).
