layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Rated_Speed_RPM,No_Load_Speed_RPM,Rated_Current_A,Peak_Current_A,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw_rpm_per_V,Ke_raw,Ke_unit,R_phase_to_phase_ohm,L_phase_to_phase_H,Rotor_Inertia_kgm2,Km_Nm_per_sqrtW,Mech_Time_Const_ms,Elec_Time_Const_ms,Backdrive_Torque_Nm,Pole_Pairs,Winding,Insulation_Class,Operating_Temp_C,IP,Communication,Notes,Source
actuator,CubeMars,AKE80-8 KV30,https://www.cubemars.com/product/ake80-8-kv30-quasi-direct-drive-actuator.html,https://www.cubemars.com/data/cms/202602/ake80-8-quasi-direct-drive-2d-drawing.pdf,datasheets/cubemars-rich/ake80-8-quasi-direct-drive-2d-drawing.pdf,298,$339.90 USD (cubemars.com) x0.876,48,12,30,150,195,4.8,12,0.57,87,32,planetary 8:1,0.32,terminal_ll,30,33,V/krpm,0.87,0.00099,0.000147175,0.34,2.3,1.13,,21,star,F,-20 to 50,,,"QDD module: no encoder, no driver board. Rated power 188W. Backlash 9 arcmin. Dielectric 500V. Torque/speed=output(post 8:1); Kt/Kv/Ke/R/L=motor-frame. Back-drive not published. Currents ADC.",https://www.cubemars.com/
actuator,CubeMars,AKE60-8 KV80,https://www.cubemars.com/product/ake60-8-kv80-quasi-direct-drive-actuator.html,https://www.cubemars.com/data/cms/202602/ake60-8-quasi-direct-drive-2d-drawing.pdf,datasheets/cubemars-rich/ake60-8-quasi-direct-drive-2d-drawing.pdf,192,$218.90 USD (cubemars.com) x0.876,24,5,12.5,180,240,4.8,12,0.26,69,25,planetary 8:1,0.13,terminal_ll,80,12.5,V/krpm,0.577,0.000704,6.4739e-05,0.15,1.2,1.7,,14,star,F,-20 to 50,,,"QDD module: no encoder, no driver board. 24V. Rated power 95W. Backlash 9 arcmin. Dielectric 500V. Torque/speed=output(post 8:1); Kt/Kv/Ke/R/L=motor-frame. Back-drive not published. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RI100 KV105,https://www.cubemars.com/product/ri100-kv105-frameless-inrunner-torque-motor.html,https://www.cubemars.com/data/cms/202602/ri100-frameless-torque-motor-without-hall-sensor-2d-drawing.pdf,datasheets/cubemars-rich/ri100-frameless-torque-motor-2d-drawing.pdf,130,$148.90 USD (cubemars.com) x0.876,48,1.76,4.95,2825,4368,13.6,38.6,0.5,104,26,none (frameless),0.129,terminal_ll,105,10.47,V/krpm,0.126,0.0003667,2.155e-05,0.3634,0.16,2.91,,14,delta,C,-20 to 50,,,"Frameless inrunner; 45mm hollow shaft. Multi-voltage 24/36/48V (torque/current V-independent; speeds@48V; rated 1370/2100/2825, no-load 2184/3276/4368). R=phase-to-phase. Dielectric 1000V. Optional Hall. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RI80 V2.0 KV75,https://www.cubemars.com/product/ri80-v2-0-kv75-frameless-inrunner-torque-motor.html,https://www.cubemars.com/data/cms/202602/ri80-v2-frameless-torque-motor-with-hall-sensor-2d-drawing.pdf,datasheets/cubemars-rich/ri80-v2-frameless-torque-motor-2d-drawing.pdf,116,$132.90 USD (cubemars.com) x0.876,48,1.45,4.1,2430,2960,9.4,27.6,0.411,85,27,none (frameless),0.155,terminal_ll,75,15.5,V/krpm,0.33,0.00051,2.1249e-05,0.2698,0.29,1.55,,8,delta,C,-20 to 50,,,"Frameless inrunner; 40.5mm hollow shaft. Multi-voltage 24/36/48V; speeds@48V (rated 1135/1785/2430, no-load 1480/2220/2960). R=phase-to-phase. Dielectric 1000V. Optional Hall. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RI70 KV95,https://www.cubemars.com/product/ri70-kv95-frameless-inrunner-torque-motor.html,https://www.cubemars.com/data/cms/202602/ri70-frameless-torque-motor-with-hall-sensor-2d-drawing.pdf,datasheets/cubemars-rich/ri70-frameless-torque-motor-2d-drawing.pdf,109,$123.90 USD (cubemars.com) x0.876,48,0.94,2.68,2710,3912,7.1,21,0.2704,76,24,none (frameless),0.13,terminal_ll,95,11.69,V/krpm,0.418,0.0006227,9.215e-06,0.2011,0.23,1.49,,14,delta,C,-20 to 50,,,"Frameless inrunner; 38mm hollow shaft. Multi-voltage 24/36/48V; speeds@48V (rated 1270/1990/2710, no-load 1956/2934/3912). R=phase-to-phase. Dielectric 1000V. Optional Hall. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RI60 KV120,https://www.cubemars.com/product/ri60-kv120-frameless-inrunner-torque-motor.html,https://www.cubemars.com/data/cms/202602/ri60-frameless-torque-motor-with-hall-sensor-2d-drawing.pdf,datasheets/cubemars-rich/ri60-frameless-torque-motor-2d-drawing.pdf,87,$98.90 USD (cubemars.com) x0.876,48,0.57,1.63,3190,5064,5.6,16.8,0.1559,60,23,none (frameless),0.1,terminal_ll,120,9.03,V/krpm,0.9,0.0008775,3.305e-06,0.1054,0.3,0.98,,14,delta,C,-20 to 50,,,"Frameless inrunner; 30mm hollow shaft. Multi-voltage 24/36/48V; speeds@48V (rated 1440/2320/3190, no-load 2532/3798/5064). R=phase-to-phase. Dielectric 500V. Optional Hall. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RI50 KV100,https://www.cubemars.com/product/ri50-kv100-frameless-inrunner-torque-motor.html,https://www.cubemars.com/data/cms/202602/ri50-frameless-torque-motor-with-hall-sensor-2d-drawing.pdf,datasheets/cubemars-rich/ri50-frameless-torque-motor-2d-drawing.pdf,54,$61.90 USD (cubemars.com) x0.876,48,0.58,1.67,2600,4008,4.8,14.8,0.1808,54,27,none (frameless),0.12,terminal_ll,100,11.41,V/krpm,1.42,0.0015,2.28e-06,0.1007,0.22,1.06,,7,star,C,-20 to 50,,,"Frameless inrunner; 22mm hollow shaft. Multi-voltage 24/36/48V; speeds@48V (rated 1090/1860/2600, no-load 2004/3006/4008). R=phase-to-phase. Dielectric 500V. Optional Hall. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RO100 KV55 Standard,https://www.cubemars.com/product/ro100-kv55-standard-with-hall-frameless-torque-motor.html,https://www.cubemars.com/data/cms/202602/ro100-kv55-frameless-torque-motor-2d-drawing.pdf,datasheets/cubemars-rich/ro100-kv55-frameless-torque-motor-2d-drawing.pdf,151,$171.90 USD (cubemars.com) x0.876,48,4,12,2000,2550,20,62,0.71,113.5,36.2,none (frameless),0.2,terminal_ll,55,18.67,V/krpm,0.143,0.000137,0.00087,0.53,1.73,0.96,,21,star,F,-20 to 50,,,"Frameless outrunner, Standard-with-hall (Std 710g / Lite 525g, Std inertia 8700 / Lite 5290 gcm2, Std Phi113.5x36.2 / Lite Phi108.3x28). R=phase-to-phase. Cogging 55 Nmm. Dielectric 500V. Hall + temp sensor (Std). Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RO80 KV105 Standard,https://www.cubemars.com/product/ro80-kv105-standard-with-hall-frameless-torque-motor.html,https://www.cubemars.com/data/cms/202602/ro80-kv105-frameless-torque-motor-2d-drawing.pdf,datasheets/cubemars-rich/ro80-kv105-frameless-torque-motor-2d-drawing.pdf,101,$114.90 USD (cubemars.com) x0.876,48,1.3,4,3600,5040,15,50,0.352,92.6,26.4,none (frameless),0.087,terminal_ll,105,9.07,V/krpm,0.12,0.000103,0.0002612,0.25,2.95,0.86,,21,delta,F,-20 to 50,,,"Frameless outrunner, Standard-with-hall (Std 352g / Lite 265g, Std inertia 2612 / Lite 1600 gcm2, Std Phi92.6x26.4 / Lite Phi88.6x17.7). R=phase-to-phase. Cogging 24 Nmm. Dielectric 500V. Hall + temp sensor (Std). Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RO60 KV115 Standard,https://www.cubemars.com/product/ro60-kv115-standard-with-hall-frameless-torque-motor.html,https://www.cubemars.com/data/cms/202602/ro60-kv115-frameless-torque-motor-2d-drawing.pdf,datasheets/cubemars-rich/ro60-kv115-frameless-torque-motor-2d-drawing.pdf,75,$85.90 USD (cubemars.com) x0.876,48,0.8,2.4,4200,5520,8.5,40,0.248,73.8,23,none (frameless),0.094,terminal_ll,115,8.28,V/krpm,0.3,0.000395,0.0001161,0.17,2.86,1.32,,14,star,F,-20 to 50,,,"Frameless outrunner, Standard-with-hall (Std 248g / Lite 195g, Std inertia 1161 / Lite 800 gcm2, Std Phi73.8x23 / Lite Phi70.5x15). R=phase-to-phase. Cogging 15 Nmm. Dielectric 500V. Hall + temp sensor (Std). Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RO50 KV108 Lite,https://www.cubemars.com/product/ro50-kv108-lite-without-hall-frameless-torque-motor.html,https://www.cubemars.com/data/cms/202606/ro50-kv108-lite-frameless-torque-motor-2d-drawing.pdf,datasheets/cubemars-rich/ro50-kv108-lite-frameless-torque-motor-2d-drawing.pdf,58,$65.90 USD (cubemars.com) x0.876,24,0.3,0.9,2100,2600,3.4,0.9,0.105,61.7,14.5,none (frameless),0.088,terminal_ll,108,9.2,V/krpm,1.035,0.00046,3.2721e-05,0.087,2.4,0.44,,14,,F,-20 to 50,,,"Frameless outrunner, Lite/no-hall. Max continuous power 66W. R=phase-to-phase. Cogging 10 Nmm. Dielectric 500V. Winding type not published. PEAK CURRENT 0.9A printed is below rated 3.4A - datasheet typo. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,RO40 KV140 Lite,https://www.cubemars.com/product/ro40-kv140-lite-without-hall-frameless-torque-motor.html,https://www.cubemars.com/data/cms/202606/ro40-kv140-lite-frameless-torque-motor-2d-drawing.pdf,datasheets/cubemars-rich/ro40-kv140-lite-frameless-torque-motor-2d-drawing.pdf,45,$51.90 USD (cubemars.com) x0.876,24,0.2,0.6,2450,3400,2.85,11.6,0.06,46.3,13,none (frameless),0.068,terminal_ll,141,7,V/krpm,1.7,0.00058,1.2211e-05,0.52,2.2,0.34,,14,,F,-20 to 50,,,"Frameless outrunner, Lite. Title KV140; spec Kv=141. Max continuous power 51W. R=phase-to-phase. Cogging 6 Nmm. Dielectric 500V. Km printed 0.52 Nm/sqrtW is inconsistent (Kt/sqrt(R)=0.068/sqrt(1.7)=0.052) - likely missing-zero typo. Winding not published. Currents ADC.",https://www.cubemars.com/
